volume,all_views,run,cost,today_views,days_ago,is_restyle,modified,up,age,Легкосплавные диски,Панорамная крыша,Круиз-контроль,Противотуманные фары,Обогрев зеркал,Парктроники,Системы помощи,ESP (система поддержания динамической стабильности),Ксеноновые фары,CD/MP3 проигрыватель,Обогрев руля,Управление мультимедиа с руля,Климат-контроль,Обогрев лобового стекла,Фаркоп,Светодиодные фары,Мультимедийный экран,Иммобилайзер,Контроль мертвых зон на зеркалах,Подушки безопасности боковые,Кондиционер,Материал салона - натуральная кожа,Датчик дождя,Штатная навигация,Электростеклоподъемники передние,AUX/iPod,USB,Подушки безопасности задние,Автозапуск двигателя,Сигнализация,Обогрев сидений,Камера заднего вида,ABS (антиблокировочная система),Рейлинги на крыше,Электрорегулировка сидений,Подушки безопасности передние,Электростеклоподъемники задние,Bluetooth,Антипробуксовочная система,Люк,cuzov,fuel,brand,region,model,color,drive-unit,state,transmission
2000,977,97000,13 888,71,6,1,0,1,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,внедорожник,бензин,Kia,Минск,Sportage III (рестайлинг),серый,Передний,с пробегом,Механика
2500,37,224000,7 500,37,0,0,0,0,11,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,седан,бензин,Nissan,Минск,Teana II (J32) 250 XV,серый,Передний,с пробегом,Автомат
1600,433,300000,300,171,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,универсал,дизель,Volkswagen,Витебская обл.,Passat B2,черный,Передний,с пробегом,Механика
1400,27,191000,8 100,27,1,1,0,0,9,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,минивэн,бензин,Volkswagen,Гродненская обл.,Touran I (рестайлинг),синий,Передний,с пробегом,Автомат
1800,26,271649,4 600,26,1,0,0,0,20,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,седан,бензин,Audi,Брестская обл.,A4 B5,серебристый,Передний,с пробегом,Автомат
2000,30,91012,17 850,30,1,0,0,0,6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,внедорожник,дизель,BMW,Минск,X1 E84 (рестайлинг) XDRIVE 20D,белый,Подключаемый полный,с пробегом,Автомат
2400,50,96000,11 000,50,1,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,седан,бензин,Acura,Брестская обл.,TSX II,серый,Передний,с пробегом,Автомат
2000,34,230000,9 950,34,0,0,0,0,11,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,внедорожник,дизель,Chevrolet,Минск,Captiva I,черный,Постоянный полный,с пробегом,Механика
1800,259,345000,2 690,64,1,1,1,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,седан,бензин,Peugeot,Могилевская обл.,406 I (рестайлинг),синий,Передний,с пробегом,Механика
2000,94,250000,22 300,27,1,0,0,0,7,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,микроавтобус,дизель,Volkswagen,Могилевская обл.,Caravelle T5 Long,черный,Передний,с пробегом,Механика
3000,395,142000,24 000,37,5,1,0,1,8,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,микроавтобус,дизель,Mercedes-Benz,Минск,Viano W639 (рестайлинг),другой,Задний,с пробегом,Автомат
1900,733,276000,5 750,58,6,0,0,1,21,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,седан,дизель,Audi,Минск,A6 C5,синий,Передний,с пробегом,Механика
1600,358,280000,1 399,38,3,1,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,универсал,бензин,Opel,Могилевская обл.,Astra F (рестайлинг),синий,Передний,на запчасти,Механика
1600,697,76000,14 650,63,3,0,0,1,4,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,универсал,дизель,Toyota,Брестская обл.,Avensis III (T270) (2-ой рестайлинг) Comfortline,черный,Передний,с пробегом,Механика
2000,43,617820,3 700,43,1,0,0,0,23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,минивэн,бензин,Peugeot,Гродненская обл.,806 221,зеленый,Передний,с пробегом,Механика
2000,811,40000,2 200,73,4,0,0,1,27,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,седан,дизель,Mercedes-Benz,Могилевская обл.,"E-Класс W124, S124, C124, A124",черный,Задний,с пробегом,Механика
3000,334,168000,21 999,27,4,0,0,1,8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,седан,дизель,BMW,Витебская обл.,"5 серия F10, F11 xDrive30D MSport",белый,Постоянный полный,с пробегом,Автомат
1600,119,260000,1 000,119,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,хэтчбек,бензин,Mitsubishi,Минск,Carisma I,синий,Передний,с пробегом,Механика
1300,20,245000,3 200,20,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,минивэн,бензин,Mitsubishi,Брестская обл.,Space Star I,серебристый,Передний,с пробегом,Механика
1600,279,239000,16 200,45,4,0,0,1,4,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,универсал,дизель,Mercedes-Benz,Гродненская обл.,"C-Класс W205, S205, C205, A205",серый,Задний,с пробегом,Механика
2500,361,520,5 200,48,3,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,микроавтобус,бензин,Volkswagen,Могилевская обл.,Caravelle T4,синий,Передний,с пробегом,Механика
3000,505,89000,26 000,29,5,0,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,седан,дизель,BMW,Минск,"5 серия F10, F11 XDrive luxury",белый,Постоянный полный,с пробегом,Автомат
1900,56,342000,4 999,56,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,универсал,дизель,Volkswagen,Минск,Passat B5,серый,Передний,с пробегом,Механика
2000,47,147000,25 850,47,1,0,0,0,3,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,внедорожник,дизель,Volvo,Минск,XC60 I (рестайлинг) OCEAN RACE,другой,Передний,с пробегом,Автомат
2000,627,400000,2 500,31,5,0,0,1,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,седан,дизель,Mercedes-Benz,Гомельская обл.,"C-Класс W202, S202 elegance",черный,Задний,с пробегом,Механика
1800,237,320704,2 900,24,5,0,0,1,26,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,седан,бензин,Volkswagen,Брестская обл.,Passat B3,синий,Передний,с пробегом,Механика
2000,140,189300,13 500,12,3,0,0,1,9,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,седан,бензин,Audi,Минск,A4 B8,серебристый,Постоянный полный,с пробегом,Автомат
2000,91,235000,19 600,33,1,0,1,0,4,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,микроавтобус,дизель,Volkswagen,Минская обл.,Caravelle T5,другой,Передний,с пробегом,Автомат
1200,86,133900,1 500,86,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,хэтчбек,бензин,Fiat,Гродненская обл.,Punto I,другой,Передний,с пробегом,Механика
1800,44,200000,293,44,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,хэтчбек,бензин,Renault,Минская обл.,19 II,красный,Передний,с пробегом,Механика
2000,95,299999,3 700,95,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,минивэн,дизель,Opel,Минск,Zafira A,синий,Передний,с пробегом,Механика
2500,294,3863559,1 200,31,3,0,0,1,24,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,седан,бензин,Chrysler,Могилевская обл.,Stratus,бордовый,Передний,с пробегом,Автомат
2500,53,383045,7 200,53,1,0,0,0,11,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,внедорожник,бензин,Renault,Минск,Koleos I,серый,,с пробегом,Механика
1400,62,136449,7 700,62,1,0,0,0,8,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,хэтчбек,бензин,Volkswagen,Гродненская обл.,Golf VI,белый,Передний,с пробегом,Механика
2000,11,154000,21 450,11,0,0,0,0,3,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,универсал,дизель,Audi,Минск,A6 C7,другой,Передний,с пробегом,Автомат
2200,131,231000,5 500,7,2,0,0,1,14,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,минивэн,дизель,Nissan,Минск,Almera Tino,серебристый,Передний,с пробегом,Механика
3000,381,205000,1 999,49,2,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,седан,бензин,Nissan,Витебская обл.,Maxima IV (A33),другой,Передний,с пробегом,Автомат
1400,24,135000,7 700,24,1,1,0,0,9,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,хэтчбек,бензин,Hyundai,Гродненская обл.,i30 FD (рестайлинг),белый,Передний,с пробегом,Механика
1600,147,221000,4 950,147,1,1,0,0,11,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,универсал,дизель,Peugeot,Гомельская обл.,307 I (рестайлинг),белый,Передний,с пробегом,Механика
1600,26,181000,8 900,26,1,1,0,0,9,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,лифтбек,бензин,Skoda,Брестская обл.,Octavia II (рестайлинг),белый,Передний,с пробегом,Механика
1500,292,245000,9 500,17,5,0,0,1,6,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,универсал,дизель,Renault,Гродненская обл.,Laguna III IniTiale Paris,черный,Передний,с пробегом,Автомат
1600,48,160000,7 950,48,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,седан,бензин,Kia,Минск,Rio III,белый,Передний,с пробегом,Автомат
1600,271,172000,16 300,104,1,0,0,0,3,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,минивэн,дизель,Volkswagen,Брестская обл.,Touran III Highline,черный,Передний,с пробегом,Механика
3200,418,320123,13 900,31,4,0,0,1,13,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,микроавтобус,бензин,Volkswagen,Гродненская обл.,Caravelle T5 4motion,серебристый,Подключаемый полный,с пробегом,Механика
2200,112,450000,3 999,25,1,1,0,0,19,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,седан,дизель,Opel,Минск,Omega B (рестайлинг),серый,Задний,с пробегом,Механика
1200,17,106282,12 200,17,1,0,0,0,5,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,лифтбек,бензин,Skoda,Брестская обл.,Octavia III,черный,Передний,с пробегом,Механика
1800,7,232500,10 499,7,0,0,0,0,9,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,минивэн,бензин,Toyota,Минск,Verso I,серый,Передний,с пробегом,Автомат
1500,38,137000,14 950,38,0,0,0,0,4,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,минивэн,дизель,BMW,Минск,2 серия Gran Tourer F46 Luxury,синий,Передний,с пробегом,Механика
2400,54,460000,5 127,30,1,0,0,0,20,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,универсал,бензин,Audi,Витебская обл.,A6 C5,зеленый,Передний,с пробегом,Механика
2500,145,330000,5 500,34,1,0,0,1,18,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,универсал,дизель,Audi,Гродненская обл.,A6 C5,серый,Подключаемый полный,с пробегом,Автомат
1900,828,360000,3 700,46,4,1,0,1,17,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,лифтбек,дизель,Skoda,Минск,Octavia I (рестайлинг),серебристый,Передний,с пробегом,Механика
3600,24,200000,10 800,24,0,0,0,0,13,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,внедорожник,бензин,Audi,Минск,Q7 4L 3.6fsi,зеленый,Постоянный полный,с пробегом,Автомат
2500,30,195462,10 700,30,1,0,0,0,13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,седан,бензин,Lexus,Минск,IS II 4WD,серебристый,Подключаемый полный,с пробегом,Автомат
2100,455,520000,1 000,23,4,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,универсал,дизель,Citroen,Витебская обл.,Xantia X2,серебристый,Передний,с пробегом,Механика
3000,52,345000,15 490,52,1,0,0,0,10,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,седан,дизель,Audi,Минск,A8 D3,черный,Постоянный полный,с пробегом,Автомат
4100,47,118000,25 999,47,1,0,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,внедорожник,дизель,Volkswagen,Минск,Touareg II,коричневый,Постоянный полный,с пробегом,Автомат
2400,15,240254,10 650,15,0,0,0,0,12,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,седан,дизель,Volvo,Минск,S80 II,серебристый,Передний,с пробегом,Автомат
1400,21,171000,8 450,21,1,0,0,0,10,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,универсал,бензин,Volkswagen,Гродненская обл.,Passat B6,черный,Передний,с пробегом,Механика
1900,204,324000,5 300,75,1,0,1,0,17,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,универсал,дизель,Volkswagen,Гродненская обл.,Passat B5,другой,Передний,с пробегом,Механика
1600,87,160000,6 200,28,1,1,1,0,8,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,хэтчбек,бензин,Ford,Витебская обл.,Focus II (рестайлинг),черный,Передний,с пробегом,Механика
1400,28,230000,2 000,28,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,хэтчбек,бензин,Peugeot,Минск,306,синий,Передний,с пробегом,Механика
1600,79,144548,7 422,79,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,минивэн,бензин,Peugeot,Минск,5008 I,черный,Передний,с пробегом,Механика
1000,11,53160,9 659,11,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,хэтчбек,бензин,Toyota,Минск,Yaris III (XP130) (рестайлинг) Premium,серебристый,Передний,с пробегом,Механика
2700,686,226000,8 400,36,6,0,0,1,13,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,внедорожник,дизель,Land,Витебская обл.,Rover Discovery III,черный,Подключаемый полный,с пробегом,Автомат
1400,26,91000,9 650,26,0,0,0,0,4,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,универсал,дизель,Skoda,Минск,Fabia NJ,черный,Передний,с пробегом,Механика
1600,610,238000,8 600,76,3,0,0,1,9,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,универсал,дизель,Volkswagen,Витебская обл.,Passat B6 R-line,черный,Передний,с пробегом,Механика
3000,414,114000,37 500,92,2,1,0,1,4,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,лифтбек,дизель,Audi,Минск,A7 4G (рестайлинг),красный,Постоянный полный,с пробегом,Автомат
2000,46,79000,31 653,46,1,1,0,0,2,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,внедорожник,дизель,BMW,Минск,X3 F25 (рестайлинг),черный,Постоянный полный,с пробегом,Автомат
1600,1103,105000,1 500,79,3,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,седан,бензин,Lada (ВАЗ),Минск,2106,оранжевый,Задний,с пробегом,Механика
1500,25,58150,15 800,25,0,0,0,0,4,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,седан,бензин,Honda,Минск,Civic X,черный,Передний,с пробегом,Автомат
1800,398,280000,3 500,25,6,0,0,1,22,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,универсал,бензин,Audi,Брестская обл.,A4 B5,синий,Передний,с пробегом,Механика
2000,190,135000,20 750,115,1,0,0,0,4,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,внедорожник,дизель,Volvo,Минск,XC60 I (рестайлинг) D4,черный,Передний,с пробегом,Автомат
